"filename", "language", "JSON", "Markdown", "CSS", "XML", "HTML", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Bogdan\Desktop\jobproject-client-app\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\Bogdan\Desktop\jobproject-client-app\package-lock.json", "JSON", 18316, 0, 0, 0, 0, 0, 0, 0, 1, 18317
"c:\Users\Bogdan\Desktop\jobproject-client-app\package.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\Bogdan\Desktop\jobproject-client-app\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 23, 1, 44
"c:\Users\Bogdan\Desktop\jobproject-client-app\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\App.css", "CSS", 0, 0, 33, 0, 0, 0, 0, 0, 7, 40
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\App.js", "JavaScript", 0, 0, 0, 0, 0, 37, 0, 0, 11, 48
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\App.test.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\Authentication\AuthProvider.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\Authentication\PrivateAxios.js", "JavaScript", 0, 0, 0, 0, 0, 28, 0, 0, 7, 35
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\Authentication\RequireAuth.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\Chat.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 121, 6, 36, 163
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\CvViewer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 48, 6, 9, 63
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\ErrorComponent\ErrorPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\JobComponents\JobDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 10, 84
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\JobComponents\JobList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 27, 1, 6, 34
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\JobComponents\JobListingPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 38, 3, 6, 47
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\JobEmployerComponents\JobApplicationList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 75, 1, 12, 88
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\JobEmployerComponents\JobApplicationPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 5, 45
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\JobEmployerComponents\JobInputForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 69, 1, 9, 79
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\JobEmployerComponents\JobsEmployerList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 1, 9, 28
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\JobEmployerComponents\JobsEmployerPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 80, 3, 7, 90
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\JobUserComponents\ApplicationList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 9, 26
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\JobUserComponents\ApplicationPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 27, 1, 6, 34
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 176, 1, 23, 200
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\Logout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 2, 29
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\NavBar\NavBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 7, 57
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\NavBar\NavBarElements.js", "JavaScript", 0, 0, 0, 0, 0, 58, 0, 0, 9, 67
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\components\SearchBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 20, 1, 4, 25
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\hooks\useAuth.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\index.css", "CSS", 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 15, 0, 0, 7, 22
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\setupTests.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 4, 1, 6
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\styles\ApplicationDetails.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\styles\ErrorPage.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\styles\Job\JobDetails.css", "CSS", 0, 0, 62, 0, 0, 0, 0, 1, 10, 73
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\styles\Job\JobListingPage.css", "CSS", 0, 0, 24, 0, 0, 0, 0, 1, 4, 29
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\styles\Job\SearchBar.css", "CSS", 0, 0, 19, 0, 0, 0, 0, 1, 2, 22
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\styles\Login.css", "CSS", 0, 0, 117, 0, 0, 0, 0, 0, 20, 137
"c:\Users\Bogdan\Desktop\jobproject-client-app\src\styles\Status.css", "CSS", 0, 0, 36, 0, 0, 0, 0, 0, 2, 38
"Total", "-", 18390, 38, 312, 1, 20, 189, 922, 55, 294, 20221